rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,17284,17284,74,73,1
2,rslurry,slurry,https://github.com/rslurry,12171,12123,33,33,0
3,stefanorigano,Steno,https://github.com/stefanorigano,8348,8348,1,0,1
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7217,7217,7,4,3
5,kimth9,kimth9,https://github.com/kimth9,6909,6909,20,19,1
6,devenperez,devenperez,https://github.com/devenperez,6598,6598,8,8,0
7,crumpetime,muffintime,https://github.com/crumpetime,6523,6523,8,7,1
8,Maximilian284,max02,https://github.com/Maximilian284,5486,5486,18,18,0
9,Kronifer,Kronifer,https://github.com/Kronifer,5149,5149,9,9,0
10,nzh0172,naz,https://github.com/nzh0172,3685,3685,7,5,2
11,BarKuperman,BarKuperman,https://github.com/BarKuperman,3480,3480,4,2,2
12,Bobby-047,Bobby-047,https://github.com/Bobby-047,2484,2484,1,0,1
13,ryandicicco,ryandicicco,https://github.com/ryandicicco,2461,2461,7,7,0
14,DanielD1909,DanielD1909,https://github.com/DanielD1909,2286,2286,2,1,1
15,jelegend,jelegend,https://github.com/jelegend,2190,2190,1,1,0
16,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,2154,2154,4,0,4
17,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,2034,2034,1,0,1
18,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1831,1831,1,0,1
19,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1829,1829,13,10,3
20,martig7,martig7,https://github.com/martig7,1755,1755,2,0,2
21,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1753,1753,10,10,0
22,soccerjonj,soccerjonj,https://github.com/soccerjonj,1319,1319,7,7,0
23,Mpfk,Mpfk,https://github.com/Mpfk,1178,1178,1,0,1
24,WillBarouch,WillBarouch,https://github.com/WillBarouch,1054,1054,1,1,0
25,TransitCore,TransitCore,https://github.com/TransitCore,1042,1042,2,0,2
26,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,355,355,1,1,0
27,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,263,263,1,1,0
28,metatablestudios,metatablestudios,https://github.com/metatablestudios,256,256,1,1,0
29,bquelhas,bquelhas,https://github.com/bquelhas,248,248,1,1,0
30,TathanDev,TathanDev,https://github.com/TathanDev,156,156,1,0,1
31,Phineapoo,Phineapoo,https://github.com/Phineapoo,107,107,1,1,0
32,bean1322,bean1322,https://github.com/bean1322,86,86,2,2,0
