listing_type,id,name,project_key,project_name
map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-brno,Brno,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-ceske-budejovice,České Budějovice,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-jihlava,Jihlava,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-karlovy-vary,Karlovy Vary,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-liberec-jablonec,Liberec - Jablonec nad Nisou,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-olomouc,Olomouc,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-ostrava,Ostrava,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-plzen,Plzeň,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-praha,Praha,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-cz-zlin,Zlín,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-ee-ida-viru,Ida-Viru,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-ee-parnu,Pärnu,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-ee-tallinn,Tallinn,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-ee-tartu,Tartu,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-lv-daugavpils,Daugavpils,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-lv-liepaja,Liepāja,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-lv-riga,Rīga,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-bialystok,Białystok,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-czestochowa,Częstochowa,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-gdansk,Gdańsk,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-kielce,Kielce,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-krakow,Kraków,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-legnica,Legnica - LGOM,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-lodz,Łódź,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-lublin,Lublin,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-olsztyn,Olsztyn,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-opole,Opole,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-poznan,Poznań,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-radom,Radom,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-rzeszow,Rzeszów,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-szczecin,Szczecin,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-warszawa,Warszawa,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-wroclaw,Wrocław,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-pl-zielona-gora,Zielona Góra,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps
map,yukina-asahikawa,旭川 (Asahikawa),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-fukuoka,福岡 (Fukuoka),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-hakodate,函館 (Hakodate),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-kochi,高知 (Kōchi),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-kumamoto,熊本 (Kumamoto),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-kyoto,京都 (Kyōto),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-matsuyama,松山 (Matsuyama),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
