rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
1,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,TYO,JP,24049464,277098,30488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,SZX,CN,20433861,254744,9626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,CAN,CN,15562720,220997,16773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,PEK,CN,14311785,209639,20382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,SHA,CN,13625076,231449,23686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,SEL4,KR,11769102,129417,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,CDMX,MX,11260947,95340,18798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,SEL3,KR,9102941,100550,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,LIM,PE,8999705,90875,14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,CKG,CN,8597215,150607,50748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,CDMC,MX,6794257,77732,8386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,ICN4,KR,6718676,88336,2533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ITM,JP,6524079,62560,14145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,KUL,MY,6249021,41536,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,BKK,TH,6033126,40981,13860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TPE,TW,5993263,50702,12559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,NGO,JP,5912459,77505,30963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,LAX,US,5496727,171223,7090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,ICN3,KR,4749878,65173,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,SFL,US,4520713,773353,31040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,GCHI,US,4338851,313080,16205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,YYZ,CA,4039209,33646,11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,HKG,HK,4038323,236084,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,BER,DE,3926141,39805,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FOKK,JP,3782578,61718,22090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,PUS4,KR,3762661,44668,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,GNYC,US,3735824,269793,5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,PUS3,KR,3602364,43343,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,SIN,SG,3529424,31692,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,ESMD,ES,3283483,23715,11989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,LAXM,US,3179061,76629,4077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,SYD,AU,3176499,25580,9687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,SEJ4,KR,3144215,46497,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,DXB,AE,3105983,195806,11715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,TIJ,MX,3083308,123165,6076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,GLED,GB,3069560,47377,12148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,MTY,MX,3023651,37297,6209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,GDL,MX,2919025,35754,5575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,PBC,MX,2730088,41729,7822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,MIL,IT,2677197,23484,10146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,ESBC,ES,2634600,11866,5727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,RMQ,TW,2588150,34365,14976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,BUC,RO,2583210,64703,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,TAE4,KR,2539651,39266,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,TAE3,KR,2539106,38216,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,DAJ4,KR,2530016,36115,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,YUL,CA,2523330,21051,8282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,TLV,IL,2497200,12486,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,WAR,PL,2207232,52166,31323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,DAJ3,KR,2201895,32378,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,ZRH,CH,2147370,98878,39672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,KWJ4,KR,2140345,32755,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,KWJ3,KR,2134804,32341,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,WAW,PL,2115324,19327,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,KMSP,US,2003945,304108,5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,DCA,US,2003362,145916,5548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKY,JP,1985453,31656,10156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,ROM,IT,1920000,28808,10725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KHH,TW,1826943,22771,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SPK,JP,1790860,31314,11166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FUK,JP,1750209,24319,5981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,NAP,IT,1695981,21250,10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,YVR,CA,1677021,13943,5740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,OSL,NO,1649396,73600,25357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,TPA,US,1609875,60755,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,GPDX,US,1571997,77003,5566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FSZ,JP,1563790,26863,9891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,PRG,CZ,1537966,78462,18905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,WMV,US,1527957,206527,10166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,SEJ3,KR,1514790,20944,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,CT,US,1483718,99514,6597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KTW,PL,1479477,37626,24377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,USN4,KR,1460625,21551,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,trujillo,Trujillo,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,TRU,PE,1442464,12600,8501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,PR,PR,1434290,30194,8273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,OC,US,1429155,137792,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,CAI,EG,1422928,8405,5210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKB,JP,1405864,21853,6601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,USN3,KR,1401126,20231,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,CJS,MX,1364798,40921,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HIJ,JP,1334069,20616,6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,piura,Piura,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,PIU,PE,1303512,11909,17239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,LAS,US,1296870,79319,2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,DAY,US,1226849,123534,5835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
