rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,8348,8348,snapshot_2026_07_06.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,3512,3512,snapshot_2026_07_06.json
3,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3055,3055,snapshot_2026_07_06.json
4,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,2884,2884,snapshot_2026_07_06.json
5,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,2484,2484,snapshot_2026_07_06.json
6,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,2209,2209,snapshot_2026_07_06.json
7,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,2190,2190,snapshot_2026_07_06.json
8,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,2042,2042,snapshot_2026_07_06.json
9,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,2034,2034,snapshot_2026_07_06.json
10,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,2008,2008,snapshot_2026_07_06.json
11,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,1985,1985,snapshot_2026_07_06.json
12,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,1850,1850,snapshot_2026_07_06.json
13,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1831,1831,snapshot_2026_07_06.json
14,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,1807,1807,snapshot_2026_07_06.json
15,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,1610,1610,snapshot_2026_07_06.json
16,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1568,1568,snapshot_2026_07_06.json
17,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1469,1469,snapshot_2026_07_06.json
18,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,1453,1453,snapshot_2026_07_06.json
19,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,1393,1393,snapshot_2026_07_06.json
20,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,1358,1358,snapshot_2026_07_06.json
21,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,1345,1345,snapshot_2026_07_06.json
22,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,1312,1312,snapshot_2026_07_06.json
23,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,1209,1209,snapshot_2026_07_06.json
24,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,1182,1182,snapshot_2026_07_06.json
25,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,1178,1178,snapshot_2026_07_06.json
26,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,1158,1158,snapshot_2026_07_06.json
27,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1148,1148,snapshot_2026_07_06.json
28,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1139,1139,snapshot_2026_07_06.json
29,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,1121,1121,snapshot_2026_07_06.json
30,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1054,1054,snapshot_2026_07_06.json
31,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,1020,1020,snapshot_2026_07_06.json
32,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,1001,1001,snapshot_2026_07_06.json
33,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,996,996,snapshot_2026_07_06.json
34,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,963,963,snapshot_2026_07_06.json
35,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,945,945,snapshot_2026_07_06.json
36,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,940,940,snapshot_2026_07_06.json
37,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,921,921,snapshot_2026_07_06.json
38,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,914,914,snapshot_2026_07_06.json
39,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,864,864,snapshot_2026_07_06.json
40,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,746,746,snapshot_2026_07_06.json
