listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31,2026_04_01,2026_04_02,2026_04_03,2026_04_04,2026_04_05,2026_04_06,2026_04_07,2026_04_08,2026_04_09,2026_04_10,2026_04_11,2026_04_12,2026_04_13,2026_04_14,2026_04_15,2026_04_16,2026_04_17,2026_04_18,2026_04_19,2026_04_20,2026_04_21,2026_04_22,2026_04_23,2026_04_24,2026_04_25,2026_04_26,2026_04_27,2026_04_28,2026_04_29,2026_04_30,2026_05_01,2026_05_02,2026_05_03,2026_05_04,2026_05_05,2026_05_06,2026_05_07,2026_05_08,2026_05_09,2026_05_10,2026_05_11,2026_05_12,2026_05_13,2026_05_14,2026_05_15,2026_05_16,2026_05_17,2026_05_18,2026_05_19,2026_05_20,2026_05_21,2026_05_22,2026_05_23,2026_05_24,2026_05_25,2026_05_26,2026_05_27,2026_05_28,2026_05_29,2026_05_30,2026_05_31,2026_06_01,2026_06_02,2026_06_03,2026_06_04,2026_06_05,2026_06_06,2026_06_07,2026_06_08,2026_06_09,2026_06_10,2026_06_11,2026_06_12,2026_06_13,2026_06_14,2026_06_15,2026_06_16,2026_06_17,2026_06_18,2026_06_19,2026_06_20,2026_06_21,2026_06_22,2026_06_23,2026_06_24,2026_06_25,2026_06_26,2026_06_27,2026_06_28,2026_06_29,2026_06_30,2026_07_01,2026_07_02,2026_07_03,2026_07_04,2026_07_05,2026_07_06
mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,stefanorigano/advanced_analytics,advanced_analytics,8348,233,42,63,55,34,41,66,34,32,47,43,40,44,33,47,39,61,65,97,142,157,164,91,84,91,135,249,147,170,166,186,202,162,116,74,74,66,178,127,184,212,116,105,58,64,173,196,172,102,103,74,75,66,78,76,63,42,43,64,50,62,66,61,44,54,45,48,43,28,36,31,30,35,39,34,31,25,22,41,38,26,37,53,34,37,30,31,28,32,43,41,38,45,49,38,39,44,26,18,14,33,39,34,48,35,52,46,41,43,45,47,59,97,44,45,30,39,42
mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,3512,0,0,0,6,34,20,27,16,12,25,30,30,30,15,24,20,19,23,39,55,39,36,22,24,35,38,39,27,33,27,26,30,61,29,17,22,26,22,28,28,42,22,24,18,18,30,61,62,33,38,21,25,24,39,23,18,16,23,17,24,26,31,26,31,28,17,16,22,14,15,16,17,14,15,15,22,17,13,18,13,22,17,33,15,17,11,16,15,19,29,18,23,22,25,16,25,22,19,10,19,19,30,122,123,53,83,76,58,59,57,58,74,79,62,51,40,33,44
mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-regions,subwaybuilder-regions,3055,103,20,24,16,12,13,16,7,15,18,14,17,13,10,22,12,16,18,17,35,22,26,18,19,21,91,83,64,46,26,36,35,48,25,17,24,20,22,14,14,26,19,13,13,6,20,37,98,65,40,33,34,36,45,37,27,20,24,16,23,27,20,27,17,25,24,22,19,14,17,13,12,16,13,18,45,55,49,46,26,33,27,30,21,28,19,22,24,31,34,18,23,36,22,26,24,26,13,11,14,17,19,15,27,15,16,25,10,21,16,15,21,42,19,15,18,13,23
map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,2884,0,0,0,10,19,12,19,3,9,24,11,8,13,12,13,16,18,17,27,26,16,19,18,23,17,19,17,22,52,31,24,26,42,22,23,26,19,135,104,83,107,58,54,32,26,29,39,47,113,77,47,34,28,41,29,23,18,26,26,35,38,40,30,38,29,37,38,22,22,16,19,19,16,22,17,17,15,12,17,19,18,21,14,10,14,14,22,14,16,16,16,8,11,17,15,12,20,10,13,5,22,8,12,24,11,19,11,13,10,23,22,18,15,5,4,5,6,3
mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,bobby-047/some-new-trains,Some-new-Trains,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,53,0,0,28,66,62,44,49,33,24,25,26,28,35,31,38,27,22,20,25,28,55,36,21,28,21,25,21,27,27,42,73,59,57,58,43,47,41,40,28,27,26,33,24,20,16,15,21,21,32,15,15,19,15,18,13,15,30,14,15,16,20,14,19,23,17,20,18,21,23,26,24,11,8,18,14,14,11,17,7,17,26,16,16,15,20,23,38,17,14,24,14,17
mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,2209,88,13,28,17,14,7,18,6,13,25,24,10,11,11,14,8,14,14,14,35,23,18,21,19,21,27,15,15,27,15,12,50,99,59,45,37,39,38,26,31,41,22,18,14,20,23,35,42,24,24,14,20,14,21,28,11,10,15,11,23,19,22,18,13,16,10,15,14,15,12,7,11,14,7,13,17,12,16,19,13,10,11,14,9,13,9,13,8,12,13,10,9,12,11,10,13,15,5,6,9,13,12,8,18,8,10,10,12,5,13,10,27,26,18,20,24,9,20
map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,jelegend/subwaybuilder,subwaybuilder,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,51,43,38,26,61,51,131,116,71,104,65,36,31,38,32,32,40,31,18,13,33,18,29,18,18,21,22,13,18,21,17,18,12,14,11,10,8,17,13,6,16,6,10,13,5,8,15,8,12,11,10,15,11,8,5,9,11,15,18,18,8,12,14,7,13,13,3,10,7,12,14,5,14,11,10,10,11,14,24,43,56,35,23,10,14,34,115
mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,danield1909/dantrains,danTrains,2042,0,0,0,9,27,23,29,35,31,30,24,28,25,18,22,31,56,31,38,50,47,38,19,34,14,34,39,17,29,55,58,45,47,79,36,36,24,27,27,29,31,25,17,14,14,13,36,26,22,26,14,17,16,16,22,17,16,9,5,7,8,18,13,11,7,8,9,14,13,8,6,4,7,6,9,7,10,6,6,8,10,6,22,7,7,6,8,4,5,7,6,11,7,3,2,8,6,6,3,4,4,6,5,6,5,5,12,4,4,5,9,13,11,3,7,11,4,8
mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,gio1112/subway-builder-citymapper,subway-builder-citymapper,2034,0,0,0,0,0,10,18,16,8,21,31,27,24,34,19,33,45,2,0,2,0,0,0,0,0,0,0,0,3,10,79,79,60,45,26,25,16,20,22,16,25,16,13,6,9,16,54,62,39,34,25,26,30,31,26,23,13,16,19,17,16,17,14,15,10,14,8,12,10,10,8,12,8,8,20,8,7,12,11,10,7,13,11,6,9,8,12,4,13,10,11,5,11,14,8,6,3,2,6,2,9,13,55,48,27,35,22,13,23,18,13,36,41,23,17,15,18,26
map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,2008,297,10,19,0,31,4,11,22,14,21,25,15,20,13,16,14,19,18,16,32,30,20,16,14,21,24,16,22,42,40,39,36,41,26,25,28,20,19,14,16,20,22,14,11,14,21,20,22,19,12,10,13,9,11,15,10,12,13,16,19,17,12,9,13,14,12,17,7,8,7,7,10,7,22,8,10,17,10,17,9,11,10,8,2,7,11,7,7,11,10,9,6,8,12,7,8,17,3,7,8,11,16,4,12,4,15,7,9,11,13,10,13,19,9,4,3,8,9
map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,kimth9/sb_korean_map_pack,sb_korean_map_pack,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,102,72,57,56,56,55,28,37,19,26,46,60,40,61,48,47,17,28,38,28,33,19,24,25,33,34,28,5,18,25,19,18,17,13,20,16,6,14,18,23,38,24,15,18,17,18,9,15,18,23,15,16,3,12,9,19,6,3,9,13,17,10,52,13,5,9,13,7,15,3,5,10,26,10,12,16,12,9,7,10,5,7,6,5
mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/valdotoriums_trains,Valdotoriums_Trains,1850,0,0,0,0,2,16,19,13,7,29,24,23,35,37,45,30,0,0,2,80,83,21,0,0,0,0,42,8,61,42,49,40,45,31,24,25,19,15,23,27,21,9,21,12,14,16,34,27,23,13,14,21,24,27,26,16,19,11,18,16,19,14,17,9,13,10,9,8,9,12,7,10,8,8,16,12,10,8,8,7,9,12,16,10,9,3,12,9,13,7,8,8,5,7,5,4,14,3,5,5,8,7,6,12,8,7,10,10,8,8,4,20,24,9,11,9,4,8
mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,hsullivan1201/sb-tod,sb-tod,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,55,55,84,133,72,110,93,89,74,58,44,44,29,57,41,37,49,41,33,21,35,20,25,34,36,19,16,24,23,25,16,22,22,13,26,23,23,16,33,55,11,24,15,13,24
map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,crumpetime/sb-maps-hkg,sb-maps-hkg,1807,74,9,24,21,7,3,4,10,8,9,19,15,12,7,11,12,21,11,19,26,20,19,17,18,18,20,23,10,39,23,22,27,37,22,16,21,13,9,20,12,9,11,12,9,11,10,19,19,9,13,8,11,11,10,8,9,7,12,16,8,10,8,6,4,10,5,4,10,4,12,4,3,4,6,11,5,6,2,7,4,7,12,8,3,7,10,5,8,6,13,7,4,6,12,4,6,10,5,4,6,50,66,81,75,43,46,28,29,28,32,18,16,24,14,7,14,9,9
mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,nzh0172/sb-anymoney,sb-anymoney,1610,0,0,0,0,0,0,0,0,1,11,12,4,15,15,11,17,33,29,30,35,45,21,27,19,17,28,19,18,31,12,20,17,30,19,17,13,13,11,18,11,14,8,10,5,10,17,35,29,15,13,12,13,21,24,27,14,12,13,11,14,23,18,19,15,13,8,8,16,13,6,9,5,9,5,10,9,11,10,10,8,10,7,13,7,9,8,10,9,6,11,10,14,18,9,11,16,13,9,8,7,12,3,7,9,5,7,8,10,9,13,16,26,32,19,19,15,14,20
map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,1568,0,0,0,0,0,0,0,0,0,0,0,0,1,15,8,21,46,37,35,46,31,35,21,28,19,33,29,20,31,70,57,46,34,34,18,23,16,14,16,12,12,16,60,40,37,36,28,20,21,13,7,19,16,14,9,14,7,4,10,6,7,6,12,13,5,4,9,4,7,6,4,5,1,5,5,2,4,3,5,5,4,9,4,4,3,7,4,10,8,9,6,2,8,1,5,15,12,3,25,26,7,8,8,7,4,4,7,6,4,11,5,4,9,4,3,2,4,9
