rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,115,115,2190,2190,2075,2075,snapshot_2026_07_06.json,snapshot_2026_07_05.json
2,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,74,74,1453,1453,1379,1379,snapshot_2026_07_06.json,snapshot_2026_07_05.json
3,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,64,64,302,302,238,238,snapshot_2026_07_06.json,snapshot_2026_07_05.json
4,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,44,44,3512,3512,3468,3468,snapshot_2026_07_06.json,snapshot_2026_07_05.json
5,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,42,42,8348,8348,8306,8306,snapshot_2026_07_06.json,snapshot_2026_07_05.json
6,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,38,38,182,182,144,144,snapshot_2026_07_06.json,snapshot_2026_07_05.json
7,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,26,26,2034,2034,2008,2008,snapshot_2026_07_06.json,snapshot_2026_07_05.json
8,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,25,25,1148,1148,1123,1123,snapshot_2026_07_06.json,snapshot_2026_07_05.json
9,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,24,24,1831,1831,1807,1807,snapshot_2026_07_06.json,snapshot_2026_07_05.json
10,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,24,24,75,75,51,51,snapshot_2026_07_06.json,snapshot_2026_07_05.json
11,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,23,23,3055,3055,3032,3032,snapshot_2026_07_06.json,snapshot_2026_07_05.json
12,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,20,20,2209,2209,2189,2189,snapshot_2026_07_06.json,snapshot_2026_07_05.json
13,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,20,20,1610,1610,1590,1590,snapshot_2026_07_06.json,snapshot_2026_07_05.json
14,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,19,19,552,552,533,533,snapshot_2026_07_06.json,snapshot_2026_07_05.json
15,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,19,19,484,484,465,465,snapshot_2026_07_06.json,snapshot_2026_07_05.json
16,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,18,18,1020,1020,1002,1002,snapshot_2026_07_06.json,snapshot_2026_07_05.json
17,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,18,18,263,263,245,245,snapshot_2026_07_06.json,snapshot_2026_07_05.json
18,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,17,17,2484,2484,2467,2467,snapshot_2026_07_06.json,snapshot_2026_07_05.json
19,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,17,17,459,459,442,442,snapshot_2026_07_06.json,snapshot_2026_07_05.json
20,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,14,492,492,478,478,snapshot_2026_07_06.json,snapshot_2026_07_05.json
21,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,13,13,1469,1469,1456,1456,snapshot_2026_07_06.json,snapshot_2026_07_05.json
22,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,13,13,1312,1312,1299,1299,snapshot_2026_07_06.json,snapshot_2026_07_05.json
23,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,13,13,1178,1178,1165,1165,snapshot_2026_07_06.json,snapshot_2026_07_05.json
24,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,13,315,315,302,302,snapshot_2026_07_06.json,snapshot_2026_07_05.json
25,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,12,12,256,256,244,244,snapshot_2026_07_06.json,snapshot_2026_07_05.json
26,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,11,11,457,457,446,446,snapshot_2026_07_06.json,snapshot_2026_07_05.json
27,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,10,10,1001,1001,991,991,snapshot_2026_07_06.json,snapshot_2026_07_05.json
28,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,9,9,2008,2008,1999,1999,snapshot_2026_07_06.json,snapshot_2026_07_05.json
29,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,9,9,1807,1807,1798,1798,snapshot_2026_07_06.json,snapshot_2026_07_05.json
30,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,1568,1568,1559,1559,snapshot_2026_07_06.json,snapshot_2026_07_05.json
31,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,9,9,1345,1345,1336,1336,snapshot_2026_07_06.json,snapshot_2026_07_05.json
32,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,8,8,2042,2042,2034,2034,snapshot_2026_07_06.json,snapshot_2026_07_05.json
33,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,8,8,1850,1850,1842,1842,snapshot_2026_07_06.json,snapshot_2026_07_05.json
34,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,7,7,1358,1358,1351,1351,snapshot_2026_07_06.json,snapshot_2026_07_05.json
35,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,522,522,515,515,snapshot_2026_07_06.json,snapshot_2026_07_05.json
36,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,7,7,420,420,413,413,snapshot_2026_07_06.json,snapshot_2026_07_05.json
37,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,1139,1139,1133,1133,snapshot_2026_07_06.json,snapshot_2026_07_05.json
38,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,6,6,1054,1054,1048,1048,snapshot_2026_07_06.json,snapshot_2026_07_05.json
39,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,6,6,729,729,723,723,snapshot_2026_07_06.json,snapshot_2026_07_05.json
