rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,38,231,231,5013,5013,4782,4782,snapshot_2026_07_06.json,snapshot_2026_07_03.json
2,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,194,194,1453,1453,1259,1259,snapshot_2026_07_06.json,snapshot_2026_07_03.json
3,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,179,179,302,302,123,123,snapshot_2026_07_06.json,snapshot_2026_07_03.json
4,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,163,163,2190,2190,2027,2027,snapshot_2026_07_06.json,snapshot_2026_07_03.json
5,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,5,138,138,2272,2272,2134,2134,snapshot_2026_07_06.json,snapshot_2026_07_03.json
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,117,118,12171,12123,12054,12005,snapshot_2026_07_06.json,snapshot_2026_07_03.json
7,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,117,117,3512,3512,3395,3395,snapshot_2026_07_06.json,snapshot_2026_07_03.json
8,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,111,111,8348,8348,8237,8237,snapshot_2026_07_06.json,snapshot_2026_07_03.json
9,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,75,75,6595,6595,6520,6520,snapshot_2026_07_06.json,snapshot_2026_07_03.json
10,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,61,61,1148,1148,1087,1087,snapshot_2026_07_06.json,snapshot_2026_07_03.json
11,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,61,61,552,552,491,491,snapshot_2026_07_06.json,snapshot_2026_07_03.json
12,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,59,59,6598,6598,6539,6539,snapshot_2026_07_06.json,snapshot_2026_07_03.json
13,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,59,59,2034,2034,1975,1975,snapshot_2026_07_06.json,snapshot_2026_07_03.json
14,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,57,57,263,263,206,206,snapshot_2026_07_06.json,snapshot_2026_07_03.json
15,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,55,55,2484,2484,2429,2429,snapshot_2026_07_06.json,snapshot_2026_07_03.json
16,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,54,54,3055,3055,3001,3001,snapshot_2026_07_06.json,snapshot_2026_07_03.json
17,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,54,54,484,484,430,430,snapshot_2026_07_06.json,snapshot_2026_07_03.json
18,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,53,53,2209,2209,2156,2156,snapshot_2026_07_06.json,snapshot_2026_07_03.json
19,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,52,52,1831,1831,1779,1779,snapshot_2026_07_06.json,snapshot_2026_07_03.json
20,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,50,50,492,492,442,442,snapshot_2026_07_06.json,snapshot_2026_07_03.json
21,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,49,49,1610,1610,1561,1561,snapshot_2026_07_06.json,snapshot_2026_07_03.json
22,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,44,44,7533,7533,7489,7489,snapshot_2026_07_06.json,snapshot_2026_07_03.json
23,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,42,42,2778,2778,2736,2736,snapshot_2026_07_06.json,snapshot_2026_07_03.json
24,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,41,41,1469,1469,1428,1428,snapshot_2026_07_06.json,snapshot_2026_07_03.json
25,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,38,38,315,315,277,277,snapshot_2026_07_06.json,snapshot_2026_07_03.json
26,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,36,36,1020,1020,984,984,snapshot_2026_07_06.json,snapshot_2026_07_03.json
27,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,34,34,457,457,423,423,snapshot_2026_07_06.json,snapshot_2026_07_03.json
28,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,33,33,459,459,426,426,snapshot_2026_07_06.json,snapshot_2026_07_03.json
29,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,32,32,1807,1807,1775,1775,snapshot_2026_07_06.json,snapshot_2026_07_03.json
30,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,32,32,1178,1178,1146,1146,snapshot_2026_07_06.json,snapshot_2026_07_03.json
31,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,28,28,2708,2708,2680,2680,snapshot_2026_07_06.json,snapshot_2026_07_03.json
32,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,28,28,1312,1312,1284,1284,snapshot_2026_07_06.json,snapshot_2026_07_03.json
33,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,27,27,2878,2878,2851,2851,snapshot_2026_07_06.json,snapshot_2026_07_03.json
34,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,27,27,256,256,229,229,snapshot_2026_07_06.json,snapshot_2026_07_03.json
35,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,24,24,1683,1683,1659,1659,snapshot_2026_07_06.json,snapshot_2026_07_03.json
36,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,23,23,2042,2042,2019,2019,snapshot_2026_07_06.json,snapshot_2026_07_03.json
